Algorithm,Language,Scenario,Source,AUROC,AUPRC,ACC@thr,Precision@thr,Recall@thr,F1@thr,EER,TPR@FPR=0.01,Threshold,Threshold source,Samples n_test,Samples n_pos_test,Samples n_neg_test,Samples n_val,Samples n_pos_val,Samples n_neg_val,Selection EER,Selection thr@EER,Error
Unigram,Overall,Paraphrase,paraphrase,0.9519555555555556,0.9599788584940284,0.83,0.7861271676300579,0.9066666666666666,0.8421052631578947,0.1366666666666667,0.56,0.7423074890000001,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.13,0.797053397,
Unigram,Spanish,CLSA,clsa,0.6736222222222222,0.6667445784177654,0.6333333333333333,0.6234567901234568,0.6733333333333333,0.6474358974358975,0.3766666666666667,0.02666666666666667,0.14002800840280097,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.395,0.12803687993289598,
Unigram,Spanish,CLSA+Backtranslation,backtranslation,0.6473111111111112,0.6143888431406814,0.61,0.5854922279792746,0.7533333333333333,0.6588921282798834,0.4033333333333333,0.013333333333333334,-0.17407765595569785,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.42500000000000004,0.0,
Unigram,Spanish,Paraphrase,paraphrase,0.9519555555555556,0.9599788584940284,0.83,0.7861271676300579,0.9066666666666666,0.8421052631578947,0.1366666666666667,0.56,0.7423074890000001,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.13,0.797053397,
Unigram,Swahili,CLSA,clsa,0.5840666666666666,0.5684137887064862,0.5333333333333333,0.5190839694656488,0.9066666666666666,0.6601941747572816,0.44666666666666666,0.0,-0.5423261445466404,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.475,0.9761870601839528,
Unigram,Swahili,CLSA+Backtranslation,backtranslation,0.627488888888889,0.6131412036383704,0.58,0.572289156626506,0.6333333333333333,0.6012658227848101,0.4166666666666667,0.006666666666666667,-0.14907119849998599,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.43499999999999994,0.16012815380508713,
Unigram,Swahili,Paraphrase,paraphrase,0.9519555555555556,0.9599788584940284,0.83,0.7861271676300579,0.9066666666666666,0.8421052631578947,0.1366666666666667,0.56,0.7423074890000001,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.13,0.797053397,
XSIR,Amharic,CLSA,clsa,0.4933777777777778,0.5103805644695272,0.5066666666666667,0.5131578947368421,0.26,0.34513274336283184,0.5,0.013333333333333334,-0.02125161491310248,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.475,-0.19592103167720462,
XSIR,Amharic,CLSA+Backtranslation,backtranslation,0.43257777777777784,0.4560616382922394,0.49,0.4634146341463415,0.12666666666666668,0.19895287958115182,0.5566666666666666,0.0,0.13782664991560437,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.51,-0.09380459558704625,
XSIR,Amharic,Paraphrase,paraphrase,0.8266666666666667,0.8536248019566169,0.76,0.7910447761194029,0.7066666666666667,0.7464788732394366,0.23,0.2866666666666667,0.0691113126,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.18999999999999997,0.06418513840000001,
XSIR,Chinese,CLSA,clsa,0.5386666666666666,0.572272702528798,0.5133333333333333,0.51010101010101,0.6733333333333333,0.5804597701149425,0.4766666666666667,0.02666666666666667,-0.11964474532201334,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.505,-0.06060177286313514,
XSIR,Chinese,CLSA+Backtranslation,backtranslation,0.4643111111111111,0.48977045814881737,0.52,0.5340909090909091,0.31333333333333335,0.3949579831932773,0.5133333333333333,0.0,-0.025291775330537704,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.54,-0.11191371509007045,
XSIR,Chinese,CWRA,cwra,0.823392857142857,0.7109703895218923,0.85,0.6857142857142857,0.6,0.64,0.25,0.2875,0.155526397901834,validation,360.0,80.0,280.0,240.0,120.0,120.0,0.30000000000000004,0.08983428012826501,
XSIR,Chinese,Paraphrase,paraphrase,0.8266666666666667,0.8536248019566169,0.76,0.7910447761194029,0.7066666666666667,0.7464788732394366,0.23,0.2866666666666667,0.0691113126,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.18999999999999997,0.06418513840000001,
XSIR,Hindi,CLSA,clsa,0.5267111111111111,0.5556364505442567,0.5266666666666666,0.6818181818181818,0.1,0.1744186046511628,0.48333333333333334,0.006666666666666667,0.19049296989662093,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.575,-0.08906371075873333,
XSIR,Hindi,CLSA+Backtranslation,backtranslation,0.4723111111111111,0.46692581378386366,0.49333333333333335,0.4880952380952381,0.2733333333333333,0.3504273504273504,0.5233333333333333,0.0,0.01697250207265218,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.51,-0.048287201386231646,
XSIR,Hindi,Paraphrase,paraphrase,0.8266666666666667,0.8536248019566169,0.76,0.7910447761194029,0.7066666666666667,0.7464788732394366,0.23,0.2866666666666667,0.0691113126,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.18999999999999997,0.06418513840000001,
XSIR,Overall,Baseline,baseline,0.8266666666666667,0.8536248019566169,0.76,0.7910447761194029,0.7066666666666667,0.7464788732394366,0.23,0.2866666666666667,0.069111312588804,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.18999999999999997,0.06418513843230901,
XSIR,Overall,Paraphrase,paraphrase,0.8266666666666667,0.8536248019566169,0.76,0.7910447761194029,0.7066666666666667,0.7464788732394366,0.23,0.2866666666666667,0.0691113126,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.18999999999999997,0.06418513840000001,
XSIR,Spanish,CLSA,clsa,0.5095111111111111,0.49388702693927544,0.4866666666666667,0.25,0.013333333333333334,0.02531645569620253,0.48,0.0,0.20501009877337967,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.49,-0.05390043665723103,
XSIR,Spanish,CLSA+Backtranslation,backtranslation,0.4435111111111111,0.4700154302409139,0.5033333333333333,0.5016835016835017,0.9933333333333333,0.6666666666666666,0.5233333333333333,0.0,-0.5407506473686384,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.52,-0.06170308003400234,
XSIR,Spanish,Paraphrase,paraphrase,0.8266666666666667,0.8536248019566169,0.76,0.7910447761194029,0.7066666666666667,0.7464788732394366,0.23,0.2866666666666667,0.0691113126,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.18999999999999997,0.06418513840000001,
XSIR,Swahili,CLSA,clsa,0.46768888888888893,0.4916406174876237,0.48333333333333334,0.38095238095238093,0.05333333333333334,0.0935672514619883,0.5133333333333333,0.013333333333333334,0.2758450578061902,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.52,0.09813696945109117,
XSIR,Swahili,CLSA+Backtranslation,backtranslation,0.5110222222222223,0.5072889303278763,0.5,0.0,0.0,0.0,0.4733333333333334,0.0,inf,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.5800000000000001,-0.09756861701607704,
XSIR,Swahili,Paraphrase,paraphrase,0.8266666666666667,0.8536248019566169,0.76,0.7910447761194029,0.7066666666666667,0.7464788732394366,0.23,0.2866666666666667,0.0691113126,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.18999999999999997,0.06418513840000001,
